TimeStamp,"Symbol","Price","Change from the Close","Change from the Close","Volume Today","Volume Today","Relative Volume","Position in Range"
2026-04-10 15:49:35,"SNOW","120.5","-11.74","-8.8777979","20361305","323.4955","4.7582214","15.058179"
2026-04-10 15:49:35,"NET","166.95","-26.100003","-13.519815","12205202","293.65716","4.5791835","9.8138748"
2026-04-10 15:49:35,"NOW","82.31","-7.5","-8.3509631","51326080","289.38967","3.9254911","13.950456"
2026-04-10 15:49:35,"CRWV","101.54","9.54","10.369565","74341504","281.84715","3.9710535","65.669291"
2026-04-10 15:49:35,"GH","78.505","-8.665","-9.9403464","5321561","279.05026","4.8124981","28.545651"
2026-04-10 15:49:35,"AKAM","90.975","-18.635","-17.001186","12145932","278.00466","4.3909125","2.1586476"
2026-04-10 15:49:35,"FSLY","22.85","-6.61","-22.437203","35382775","270.74255","3.5977654","2.9100529"
2026-04-10 15:49:35,"PLTR","127.9489","-2.5411","-1.9473523","107470531","243.5383","2.8122823","80.81135"
2026-04-10 15:49:35,"ALAB","150.095","20.635","15.939286","9082513","223.81427","3.0636147","92.37841"
2026-04-10 15:49:35,"CRWD","377.74","-16.939993","-4.292083","7913435","217.83144","2.7087425","39.51757"
2026-04-10 15:49:35,"NTRA","190.99","-12.01","-5.9162562","2333363","212.1758","2.9714886","32.391103"
2026-04-10 15:49:35,"AJG","213.26","-5.1299994","-2.3490084","3874160","201.6481","2.8468025","56.672026"
2026-04-10 15:49:35,"HUBS","192.165","-12.874993","-6.2792595","2568480","195.2001","2.5664156","25.254419"
2026-04-10 15:49:35,"INTU","350.525","-11.165002","-3.0868983","6009802","186.31677","2.1827638","46.023504"
2026-04-10 15:49:35,"PCOR","47.4","-2.52","-5.0480769","3101749","179.12422","2.3654989","22.686567"
2026-04-10 15:49:35,"MDB","225.95","-3.5400055","-1.5425532","2494156","173.72839","1.6353953","62.775061"
2026-04-10 15:49:35,"GWRE","117.98","-6.32","-5.084473","2101152","173.28546","1.9762289","23.352713"
2026-04-10 15:49:35,"TTMI","122.085","14.555","13.535757","2544425","169.48529","2.2775555","92.95082"
2026-04-10 15:49:35,"FTNT","76.59","-4.07","-5.0458716","9704191","169.1232","2.7805016","12.777149"
2026-04-10 15:49:35,"VEEV","151","-6.08","-3.8706392","3107544","168.81193","2.396841","44.561934"
2026-04-10 15:49:35,"VERA","46.46","5.53","13.510872","1926155","168.72416","2.6824729","91.717791"
2026-04-10 15:49:35,"RBRK","43.5706","-2.6094","-5.6504981","6019228","168.53247","2.2742693","29.676404"
2026-04-10 15:49:35,"ZS","117.41","-4.82","-3.9433854","4758571","165.97539","2.1827918","31.810394"
2026-04-10 15:49:35,"FRT","108.77","1.38","1.2850359","1598064","164.09806","3.7287409","90.857143"
2026-04-10 15:49:35,"CLS","350.56","22.230013","6.7706315","2933191","161.87508","2.06607","78.379773"
2026-04-10 15:49:35,"MNDY","58.75","-3.64","-5.8342683","2077222","161.39943","1.8694368","24.850895"
2026-04-10 15:49:35,"ESTC","42.785","-2.215","-4.9222222","2474956","161.01359","1.8850448","24.747475"
2026-04-10 15:49:35,"PANW","155.23","-11.760005","-7.0423409","13221970","154.12311","2.4550772","24.210849"
2026-04-10 15:49:35,"NBIS","145.1925","8.8625","6.5007702","23707709","153.00931","1.8165188","69.015735"
2026-04-10 15:49:35,"DDOG","104.74","-4.24","-3.8906221","6477216","149.74293","2.2430483","44.753261"
2026-04-10 15:49:35,"DOCN","75.82","-11.35","-13.020535","8519226","145.54418","2.9529592","2.6793431"
2026-04-10 15:49:35,"OKTA","63.04","-4.72","-6.9657615","5679655","144.89884","2.2334833","6.5068493"
2026-04-10 15:49:35,"CDNS","266.02","-14.99001","-5.334333","2600334","143.8947","2.0442789","14.634146"
2026-04-10 15:49:35,"AAOI","150.11","16.81","12.610653","19817734","143.65511","1.6891692","82.641227"
2026-04-10 15:49:35,"SAP","162.94","-1.56","-0.94832827","4113184","143.59014","1.7942288","23.569794"
2026-04-10 15:49:35,"TTE","92.52","2.59","2.8800178","3298091","140.85016","1.7537704","90.666667"
2026-04-10 15:49:35,"BIDU","108.29","0.06","0.055437494","2181259","139.65322","1.4933749","5.2469136"
2026-04-10 15:49:35,"AON","313.93","-11.469994","-3.5248906","1664037","136.85989","2.1095597","39.547658"
2026-04-10 15:49:35,"CRDO","120.12","12.19","11.294357","6902682","130.69991","1.3050638","84.530973"
2026-04-10 15:49:35,"FIG","17.82","-1.26","-6.6037736","14565066","129.73075","1.5263547","6.3380282"
2026-04-10 15:49:35,"ZM","79.18","-4.85","-5.7717482","4671041","126.13744","1.5918993","30.731015"
2026-04-10 15:49:35,"MRVL","128.75","8.82","7.35429","36098637","125.81666","2.056817","82.532051"
2026-04-10 15:49:35,"AXON","345.06","-6.2699866","-1.7846432","1465309","125.32342","1.9105184","28.205128"
2026-04-10 15:49:35,"TEM","42.675","-1.485","-3.3627717","5583389","123.23654","1.6075041","7.4858757"
2026-04-10 15:49:35,"AAP","54.49","-2.04","-3.6087033","1521893","123.1313","1.7153359","10.471204"
2026-04-10 15:49:35,"FTV","58.41","-1.82","-3.02175","2746108","122.78755","1.4969773","18.039216"
2026-04-10 15:49:35,"NTNX","34.23","-2.71","-7.3362209","4074128","120.6007","1.4461932","8.5350714"
2026-04-10 15:49:35,"DT","32.195","-1.625","-4.8048492","5882164","120.30865","1.3129312","22.44489"
2026-04-10 15:49:35,"MEOH","59.59","1.65","2.8477736","2770823","119.01537","1.8660345","85.714286"
2026-04-10 15:49:35,"CRM","164.315","-6.5350061","-3.8249961","15065856","118.37906","1.7355171","10.271318"
